genres,t1,t2,p score,ALOTC score
Alan_Parsons_Project,130.6280521013822,174.35494803048513,(0.06317457201132268-0.009083527884677933j),0.0
Songs,138.21086328970307,185.64873609581173,(0.1930932854921162-6.953708163541836e-05j),0.3076923076923077
Bjork,154.70056156836583,189.82612487466577,(0.12544208187147768+0.002314003762066832j),0.25
Asian_Dub_Foundation,112.66088309442854,174.28477140965649,0j,0.0
Alirio Diaz,136.39783211962668,181.04176240808823,0j,0.0
Bebel_Gilberto,144.32144721027328,177.384186181266,(0.1+0j),0.1
charles_mingus,169.29481641905298,207.65211135945856,0j,0.0
Santana,136.14289656929347,182.80192492479947,0j,0.0
Manu_Chao,155.90110212599453,204.07522101151315,0j,0.0
aphex_twin,125.7205428781193,183.92791619750759,(0.090273353427083-0.008351729605890416j),0.18181818181818182
Billie Holiday CD1,140.54710362667225,149.4520834125114,(0.2+0j),0.2
John Frusciante,159.4786936504825,207.1810186369962,(0.055832713446008236-0.0007200294490525202j),0.1111111111111111
Classic,204.606916520979,222.34484265734267,0j,0.0
Carlinhos_Brown,117.63296145687087,153.30903608452948,0j,0.0
john_coltrane,129.19921875,198.76802884615384,(0.4944250179014584+0.042127860873345704j),1.0
GUITARE+,152.53830922344454,172.16209998497595,(0.06295108515850112-0.0051512994853216585j),0.125
Xatzidakis,145.72108091027195,194.6645814369167,(0.0621191603449053+0.0027475268635964297j),0.0625
Vangelis,189.8378710284281,239.2578125,0j,0.0
Bernstein_conducts_Stravinsky,160.05281862903104,195.8137646895237,0j,0.0
Nina Pastori,117.29577105978261,150.21073190789474,0j,0.0
Bach - Walcha,191.99782151442307,227.84705528846155,0j,0.0
Papakonstantinou,143.00063578537612,189.68453924712296,(0.053555549101754925-0.0026304699385665885j),0.10526315789473684
Bela_Bartok,213.97843144881614,243.22731711647728,0j,0.0
Olivier Chassain,121.7507826009758,142.72943996490642,0j,0.0
Jose' Merce',184.11793428308823,198.48568789608828,(0.25+0j),0.25
more greek,144.69133879183778,180.4834093533063,(0.05965727651573673+0.0017070201037980345j),0.08695652173913043
greek,134.54141349479326,168.48206522200877,0j,0.0
Kocani Orkester,143.99339350569608,167.19898897058823,(0.12581638274465426-0.00016545278151364114j),0.25
Bach,137.39235276442307,186.34978225927034,(0.10093325318239085+0.009216232429833077j),0.2
Tomatito,183.59317555147058,223.43835363854896,0j,0.0
Paulinho da Viola & Elton Medeiros,140.96400709827213,178.078996642562,(0.09129127503143121-0.015951662485053156j),0.18181818181818182
Teresa Cristina,140.08199921359798,185.8869183338871,(0.06592202233799077-0.001503479722371967j),0.13333333333333333
Fado,151.0007535857682,188.17187653066225,(0.0505197580938489-0.002040659816707092j),0.0
Genesis,130.50426136363637,169.189453125,0j,0.0
Femi_Kuti,101.15988212719299,146.6657797987616,(0.1692617409882793-0.019978218737561785j),0.3333333333333333
Aviador_Dro,131.75106254374342,185.0048385322266,(0.15789473684210525+0j),0.15789473684210525
"Elton Medeiros, Nelson Sargento & Galo Preto",115.9893805192447,165.48801867686086,(0.25073867874435096-0.015088015796753191j),0.3125
Cabaret_Voltaire,148.25652654980033,222.68825776963016,(0.04581692454372208-0.00931602381086913j),0.09090909090909091
Abba,115.4569378050414,144.8427471496158,(0.08317191050020746+0.004888392943668059j),0.05555555555555555
Autechre,115.64452392872575,178.80756938374125,(0.11160637686558211-0.00749878719617034j),0.2222222222222222
